0001     -553.6215689532
0003     -553.8228579531
0005    -553.788192953
0007    -554.1078659529
0008     -553.500400953
0009     -553.9793919532
0010    -553.8745129532
0011     -554.067641953
0012     -554.2096849531
0014     -553.9719249532
0015     -553.3338959529
0017     -553.5577719531
0018     -528.8015519532
0020     -528.8644949533
0022     -526.8021479533
0023     -526.282572953
0024     -526.6854959531
0025     -516.776754953
0026     -517.3055159533
0027    -522.0383599531
0028    -522.0932849532
0029     -520.5391299534
0030     -522.4703299529
0031     -523.0497949533
0032     -528.207782953
0033     -523.3310209531
0034     -523.114491953
0035     -522.995971953
0036     -523.569965953
0037     -527.8960199531
0038     -533.3993679532
0041     -529.7053469531
0042     -521.7352759531
0043    -523.9538849532
0045     -527.0099119532
0046     -529.7470609532
0048     -527.3927139533
0049    -527.3935509531
0050     -529.3992739532
0051     -518.5305889531
0052    -523.5975569533
0053    -539.3052399531
0054     -520.3871579533
0055    -526.617540953
0056     -514.6778549531
0057    -514.7487059531
0058     -526.9632139532
0059     -514.5342319533
0060    -526.686184953
0061    -527.4388199532
0062     -520.216404953
0063     -520.4287859532
0064    -518.7014419532
0065     -520.009971953
0066     -513.6120909532
0067     -520.1097169532
0068     -525.3835919532
0069     -524.563696953
0070    -520.6611239533
0071     -535.4653709531
0072    -535.7693109531
0073    -509.0801019531
0075     -509.0497909533
0076     -514.1341409532
0079     -512.2365469532
0080     -508.4880089532
0082     -512.0922669531
0083     -513.1895979531
0084     -511.307338953
0085     -510.1762389531
0086     -510.2668339531
0087     -510.5287659531
0088     -511.7709359531
0091     -508.6545989532
0092     -511.1282949531
0093     -511.4849899532
0094    -509.0973089531
0095     -511.6715899529
0097     -512.1616799531
0098     -511.560669953
0099    -508.828223953
